model,roc_auc,pr_auc,f1,best_thr,fit_sec
lightgbm,0.7693764338859878,0.934508298906225,0.93026037205243,0.15,3.7729623317718506
xgboost,0.7717334106015865,0.9352558472382868,0.9306971837739347,0.1,1.9362115859985352
logreg,0.7041320564330871,0.914955621603085,0.9273558953361909,0.39999999999999997,3.830760955810547
